id	name	population	
PRY	Paraguay	"6375830"	
TGO	Togo	"6199841"	
PNG	Papua New Guinea	"6064515"	
SLV	El Salvador	"6052064"	
NIC	Nicaragua	"5995928"	
ERI	Eritrea	"5792984"	
DNK	Denmark	"5515575"	
KGZ	Kyrgyzstan	"5508626"	
SVK	Slovakia	"5470306"	
FIN	Finland	"5255068"	
SLE	Sierra Leone	"5245695"	
ARE	United Arab Emirates	"4975593"	
TKM	Turkmenistan	"4940916"	
CAF	Central African Republic	"4844927"	
SGP	Singapore	"4701069"	
NOR	Norway	"4676305"	
BIH	Bosnia and Herzegovina	"4621598"	
GEO	Georgia	"4600825"	
CRI	Costa Rica	"4516220"	
HRV	Croatia	"4486881"	
MDA	Moldova	"4317483"	
NZL	New Zealand	"4252277"	
IRL	Ireland	"4250163"	
COG	Republic of the Congo	"4125916"	
LBN	Lebanon	"4125247"	
PRI	Puerto Rico	"3977663"	
LBR	Liberia	"3685076"	
ALB	Albania	"3659616"	
LTU	Lithuania	"3545319"	
URY	Uruguay	"3510386"	
PAN	Panama	"3410676"	
MRT	Mauritania	"3205060"	
MNG	Mongolia	"3086918"	
OMN	Oman	"2967717"	
ARM	Armenia	"2966802"	
JAM	Jamaica	"2847232"	
KWT	Kuwait	"2789132"	
PSE	West Bank	"2514845"	
LVA	Latvia	"2217969"	
NAM	Namibia	"2128471"	
MKD	Macedonia	"2072086"	
BWA	Botswana	"2029307"	
SVN	Slovenia	"2003136"	
LSO	Lesotho	"1919552"	
GMB	Gambia	"1824158"	
KWT	Kosovo	"1815048"	
149	Gaza Strip	"1604238"	
GNB	Guinea Bissau	"1565126"	
GAB	Gabon	"1545255"	
SWZ	Swaziland	"1354051"	
153	Mauritius	"1294104"	
EST	Estonia	"1291170"	
TTO	Trinidad and Tobago	"1228691"	
TLS	Timor-Leste	"1154625"	
CYP	Cyprus	"1102677"	
FJI	Fiji	"957780"	
QAT	Qatar	"840926"	
160	Comoros	"773407"	
GUY	Guyana	"748486"	
DJI	Djibouti	"740528"	
163	Bahrain	"738004"	
BTN	Bhutan	"699847"	
MNE	Montenegro	"666730"	
GNQ	Equatorial Guinea	"650702"	
SLB	Solomon Islands	"609794"	
168	Macau	"567957"	
169	Cape Verde	"508659"	
LUX	Luxembourg	"497538"	
ESH	Western Sahara	"491519"	
SUR	Suriname	"486618"	
173	Malta	"406771"	
174	Maldives	"395650"	
BRN	Brunei	"395027"	
BLZ	Belize	"314522"	
BHS	The Bahamas "310426"	
ISL	Iceland	"308910"	
179	French Polynesia	"291000"	
180	Barbados	"285653"	
181	Mayotte	"231139"	
NCL	New Caledonia	"229993"	
183	Netherlands Antilles	"228693"	
VUT	Vanuatu	"221552"	
185	Samoa	"192001"	
186	Sao Tome and Principe	"175808"	
187	Saint Lucia	"160922"	
188	Tonga	"122580"	
189	Virgin Islands	"109775"	
190	Grenada	"107818"	
191	Federated States of Micronesia	"107154"	
192	Aruba	"104589"	
193	Saint Vincent and the Grenadines	"104217"	
194	Kiribati	"99482"	
195	Jersey	"91812"	
196	Seychelles	"88340"	
197	Antigua and Barbuda	"86754"	
198	Andorra	"84525"	
199	Isle of Man	"76913"	
DOM	Dominica	"72813"	
201	Bermuda	"68268"	
202	American Samoa	"66432"	
203	Marshall Islands	"65859"	
204	Guernsey	"65632"	
GRL	Greenland	"57637"	
206	Cayman Islands	"50209"	
207	Saint Kitts and Nevis	"49898"	
208	Faroe Islands	"49057"	
209	Northern Mariana Islands	"48317"	
210	Liechtenstein	"35002"	
211	San Marino	"31477"	
212	Monaco	"30586"	
213	Saint Martin	"30235"	
214	Gibraltar	"28877"	
215	British Virgin Islands	"24939"	
216	Turks and Caicos Islands	"23528"	
217	Palau	"20879"	
218	Akrotiri	"15700"	
219	Dhekelia	"15700"	
220	Wallis and Futuna	"15343"	
221	Anguilla	"14764"	
222	Nauru	"14264"	
223	Cook Islands	"11488"	
224	Tuvalu	"10472"	
225	Saint Helena, Ascension, and Tristan da Cunha	"7670"	
226	Saint Barthelemy	"7406"	
227	Saint Pierre and Miquelon	"6010"	
228	Montserrat	"5118"	
FLK	Falkland Islands	"3140"	
230	Norfolk Island	"2155"	
231	Svalbard	"2067"	
232	Christmas Island	"1402"	
233	Tokelau	"1400"	
234	Niue	"1354"	
235	Holy See (Vatican City)	829	
236	Cocos (Keeling) Islands	596	
237	Pitcairn Islands	48	
ATA	Antarctica	0	
ATF	French Southern and Antarctic Lands	0
SDS	South Sudan	"12152321" 
ABV	Somaliland	"3500000"
OSA	Kosovo	"1824000"
